ID,UK_HS,UK_casecontrol,UK_FCI,Sex,Birth_Year,Birth_Month,HD_Year,HD_Age,PC1,PC2,Group
693,-9,-9,-9,1,-9,-9,-9,-9,-0.0434313,0.0264774,1
694,6,1,1,2,2013,6,2014,1.19,-0.0379795,-0.0786558,1
695,-9,-9,-9,1,-9,-9,-9,-9,0.0730278,0.00880083,1
696,-9,-9,-9,1,-9,-9,-9,-9,0.0373219,-0.0466121,1
697,-9,-9,-9,1,-9,-9,-9,-9,-0.00334501,-0.00543212,1
698,-9,-9,-9,2,-9,-9,-9,-9,0.0808767,0.0339089,1
699,-9,-9,-9,2,-9,-9,-9,-9,-0.0351007,0.0227809,1
700,-9,-9,-9,1,-9,-9,-9,-9,-0.00372016,0.00522129,1
701,-9,-9,-9,2,-9,-9,-9,-9,-0.117966,0.0946672,1
702,-9,-9,-9,1,-9,-9,-9,-9,-0.00262374,0.0286159,1
703,-9,-9,-9,2,-9,-9,-9,-9,0.0246071,-0.0210289,1
704,-9,-9,-9,2,-9,-9,-9,-9,0.0777281,0.0173243,1
705,-9,-9,-9,1,-9,-9,-9,-9,-0.0833232,0.031444,1
706,33,2,3,2,2012,6,2014,1.84,-0.0727478,0.00946848,1
707,-9,-9,-9,2,-9,-9,-9,-9,0.0871956,0.0170855,1
708,-9,-9,-9,2,-9,-9,-9,-9,0.0207015,0.00274519,1
709,-9,-9,-9,1,-9,-9,-9,-9,0.0208132,0.00922205,1
710,-9,-9,-9,1,-9,-9,-9,-9,-0.0369385,-0.0829592,1
711,-9,-9,-9,1,-9,-9,-9,-9,-0.0411749,-0.0451034,1
712,-9,-9,-9,2,-9,-9,-9,-9,0.0635907,0.0156874,1
713,-9,-9,-9,1,-9,-9,-9,-9,0.036681,0.0112619,1
714,20,2,2,1,2009,5,2010,1.21,0.0159641,-0.0504276,1
715,-9,-9,-9,2,-9,-9,-9,-9,-0.00148844,0.0303155,1
716,-9,-9,-9,1,-9,-9,-9,-9,0.057002,0.0214498,1
717,10,1,1,2,2012,5,2014,2.23,0.0901345,0.0267437,1
718,14,2,2,1,2012,1,2013,1.07,-0.0313709,0.000495669,1
719,9,1,1,2,2011,11,2014,2.35,0.0916537,0.0265726,1
720,11,2,2,2,2010,12,2012,1.16,0.0666051,0.0174971,1
721,51,2,5,1,2012,4,2013,1.19,0.0217099,0.0321019,1
722,-9,-9,-9,1,-9,-9,-9,-9,-0.0124359,0.0192835,1
723,9,1,1,2,2008,6,2009,1.43,-0.0354726,-0.111977,1
724,10,1,1,2,2012,3,2014,2.18,-0.0256379,-0.00373612,1
725,-9,-9,-9,2,-9,-9,-9,-9,-0.0870814,0.0495811,1
726,12,2,2,2,2008,4,2009,1.05,0.0859304,0.0228524,1
727,16,2,2,1,2007,3,2008,1.27,0.0518581,0.0126711,1
728,-9,-9,-9,1,-9,-9,-9,-9,0.0170989,-0.00479626,1
729,12,2,2,1,2007,10,2010,2.92,0.0565907,0.0238516,1
730,9,1,1,2,2009,10,2010,1.05,0.0821539,0.0112004,1
731,-9,-9,-9,1,-9,-9,-9,-9,-0.0372251,-0.125884,1
732,19,2,2,2,2012,7,2013,1.18,0.0976735,0.0287197,1
733,12,2,2,2,2009,6,2010,1.08,-0.0225808,-0.062787,1
734,-9,-9,-9,1,-9,-9,-9,-9,0.0848894,0.0498375,1
735,-9,-9,-9,2,-9,-9,-9,-9,-0.0613073,0.0462236,1
736,-9,-9,-9,2,-9,-9,-9,-9,-0.0365752,0.00335773,1
737,12,2,2,2,2010,6,2012,1.91,-0.0661903,0.00719254,1
738,19,2,2,2,2004,11,2006,1.21,0.012024,-0.0228756,1
739,-9,-9,-9,2,-9,-9,-9,-9,-0.059578,0.032832,1
740,-9,-9,-9,2,-9,-9,-9,-9,-0.0250575,-0.151919,1
741,-9,-9,-9,2,-9,-9,-9,-9,0.0671323,0.0313057,1
